month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01-31,-5.44,0,-2.63,-2.27,0.96,-8.03,-4.15,-1.86,-7.16,-0.16,-9.36,0.22,1.06,-0.03,-2.94,-1.06,1.17,-5.87,-4.56,0.38,0.75
02-01,-1.49,-2.27,-2.01,-2.88,0.94,-4.81,-6.4,-1.14,-9.77,-2.22,-5.81,0.43,-0.43,-0.45,-0.55,-2.97,1.62,-4.92,-6.45,-0.35,1.43
02-02,-5.65,-3.25,-4.69,0.31,2.47,-2.7,-6.17,0.04,-13.16,-4.54,-3.13,0.57,1.27,-1.38,0.65,-2.36,3.41,-3.27,-5.84,-1.26,-0.07
02-03,-4.76,-2.76,-9.71,0.18,0.64,-2.71,-7.56,-0.37,-12.75,-3.94,-0.82,-1.3,-0.85,-0.77,-3.01,-0.81,0.03,-6.65,-5.87,-2.91,0.8
02-04,0.52,-1.88,-13.72,-0.44,1.68,-3.65,-7.06,-0.1,-14.25,-4.57,-0.73,-1.61,-0.49,0.01,-6.52,-3.44,-2.46,-9.89,-3.99,-3.99,0.45
02-05,-0.74,-0.29,-13.63,-4.42,0.75,-4.51,-6.45,-1.37,-10.85,-3.84,-4.85,-1.61,-2.5,-1.7,-6.8,-0.81,-0.03,-10.86,-1.22,-2.01,-1.57
02-06,-5.45,2.04,-12.61,-13.16,1.66,-3.71,-8.52,-2.29,-3.28,-2.24,-4.36,0.08,-1.96,-5.06,-6.65,-4.04,-2.12,-10.36,0.32,-0.73,-4.77
02-07,-5.06,0.41,-11,-13.88,1.21,-0.38,-5.6,-2.5,-4.46,-3.23,-0.73,0.23,1.61,-7.78,-3.78,-0.57,-2.07,-8.03,-0.39,0.28,-6.97
02-08,-7.3,-1.65,-10.22,-8.98,1.64,1.26,-3.85,-0.44,-12.53,-3.24,0.41,-3.12,0.87,-6.63,-2.67,0.59,1.36,-8.29,-1.26,1.88,-10.59
02-09,-7.62,-3.33,-8.93,-9.66,2.31,0.37,-7.37,-6.24,-9.8,-2.6,0.01,-2.61,1.81,-7.13,-6.17,0.84,2.33,-10.51,-0.25,1.65,-14.16
02-10,-13.75,-2.77,-5.81,-12.61,2.34,-1.55,-10.35,-10.41,-10.43,-1.82,0.1,1.5,1.75,-5.81,-5.51,1.03,2.65,-10.12,0.74,1.13,-14.6
02-11,-15.07,0.96,-7.1,-4.67,1.7,-2.55,-10.87,-7.76,-7.73,-2.21,-0.28,1.31,1.03,-4.56,-4,0.22,2.89,-12.48,-1.28,-0.48,-12.26
02-12,-14.03,-0.03,-5.2,-7.01,1.02,-3,-10.95,-10.09,-5.73,-2.62,-0.07,1.1,0.37,-2.27,-2.89,-2.25,2.56,-11.08,-0.42,0.1,-8.67
02-13,-3.53,-2.01,-3.36,-7.79,1.29,-4.09,-9.23,-13.51,-8.1,-3.05,-0.27,0.59,0.32,0.4,-0.82,-1.57,2.19,-5.97,0.88,2.78,-7.68
