month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03-20,3.41,0.13,0.51,0,10.51,0,2.11,0.36,0.08,0.03,1.13
03-21,0.01,0.18,2.76,19.64,26.4,0.54,0,27.61,0.24,1.13,0
03-22,0,0.54,0,0.04,12.74,0.27,0.19,1,19.86,0.03,0
03-23,0,0.98,0.09,0,1.11,1.59,0.17,0.03,1.92,14.54,7.61
03-24,0,0.09,0.47,0.16,12.95,0,0.8,0,0.55,8.08,2.28
03-25,0,0,0,0.2,0.47,0,0,3.41,0,20.69,6.26
03-26,1.27,0,0.14,11.12,0,2.38,0,0.18,16.65,27.67,39.43
03-27,4.13,0,0.72,27.69,0.04,0,1.12,0,2.25,0.07,0.04
03-28,0,0,3.86,0.93,0,0.1,22.37,18.32,0.07,2.1,2.18
03-29,0,1.66,0.28,0.07,0,1.03,37.67,25.92,1.13,2.39,26.64
03-30,4.91,0.01,0,0.07,0,4.38,0.02,0.12,1.38,0.63,0.01
03-31,0.1,0,0,7.44,0,2.06,0.16,0.14,6.77,0.4,0.14
04-01,0,3.18,2.22,12.02,0,3.78,24.94,0.01,13.2,0.86,8.54
04-02,0.37,0.02,2.6,0.01,0.02,0.43,1.18,0.02,0.01,3.47,0
04-03,13.19,0.38,0.82,1.66,0.01,0,0.01,0.06,13.08,0.06,15.84
04-04,24.29,8.6,13.18,0.01,0,0,1.2,9.92,46.58,0,7.22
04-05,0.55,3.74,0.63,0,0.2,0,1,21.3,0.79,0,3.51
04-06,7.17,0.23,0,0.19,0.93,0,0,0,0.03,0.43,6.7
04-07,0,8.68,35.64,3.73,3.36,0,0,0.15,0.06,9.69,9.31
04-08,0,16.12,0.01,12.8,0.03,11.72,0.17,1.25,0.03,3.82,3.04
04-09,0,0.02,0,13.34,0.02,0.12,0.48,0.19,0,0,39.4
04-10,0,12.89,0.02,0.08,0,29.56,0.36,0.09,0.03,0,0
04-11,0,7.06,0.11,46.79,0.24,0.61,0.34,0,0.01,0.01,0.03
04-12,0,0.04,0,0.74,0.96,1.59,13.41,0,0.02,1.55,3.61
04-13,0.04,28.25,3.1,0.1,0,0,53.87,5.33,0.23,0,0.11
04-14,3.79,38.16,19.06,0,3.21,13.04,0.19,13.58,3.61,0,0
04-15,0,5.45,0.54,0.59,9.13,17.32,0,0.02,14.95,35.38,0
