month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03-14,0.01,36.89,21.42,63.79,0.82,0.01,0.25,0.01,0,4.7,0.02
03-15,0.18,0.08,1.55,0.8,0.1,12.05,0.12,0,0.01,0.04,1.18
03-16,0.74,0,2.31,0.08,0.09,0.01,0.11,2.67,0.01,0,0.02
03-17,1.09,0.8,1.29,0.01,0,0,5.12,0.45,11.19,0.1,0.17
03-18,0.01,0.01,0.01,1.12,0,0.01,0.64,31.48,0.23,0.51,0.14
03-19,16.41,0,0.04,0.16,0,0,26.27,7.07,2.27,0.01,0.02
03-20,1.25,7.04,3.63,0,2.13,0,1.92,0.01,0.27,0,0.45
03-21,0,1.14,1.83,0.01,20.67,20.84,0.11,0,0.01,0,0
03-22,0,0,0,0,0.48,5.77,0,0,0,0.16,0.05
03-23,0.05,0,0,0,0.01,0.26,40.46,0.56,3.51,7.29,84.82
03-24,0,0,0.16,0.48,0,0,0,22.96,26.67,0.35,0
03-25,0.6,2,3.09,4.36,0.03,0.79,1.66,1.83,0.52,8.16,0
03-26,0.17,21.42,0,1.33,0,0,0,1.17,2.55,0.04,1.45
03-27,0.03,5.91,1.44,10.36,0.13,0,0.05,0.01,2.77,6.63,1.97
03-28,0.67,0.83,17.15,36.03,0.61,0,8.04,31.84,0.83,0.59,31.43
03-29,52.37,0.03,0,0.02,0.56,0.1,3.28,0.01,0.08,0.08,0.62
03-30,14.44,0.67,0,1.52,7.48,0.39,5.2,0,0,0.1,1.38
03-31,4.19,4.2,0.16,68.27,0,8.85,0.82,5.46,7.49,0.32,0.2
04-01,0,0.01,2.35,2,1.37,0,0,2.02,2.4,15.41,8.98
04-02,0.39,0,12.24,0,13.99,1.58,0.07,0.01,0.01,0.05,35.3
04-03,0.51,4.39,4.81,2.7,3.18,0.19,3.12,0,5.38,0,31.16
04-04,5.48,1,12.26,30.87,6.25,0,0.3,0,0,0.11,7.49
04-05,0.07,0.01,0.01,0.32,0,11.01,0.58,0,2.45,0.97,0.21
04-06,0,0.21,0.05,31.41,1.48,0.52,2.74,0,25.01,2.13,0.07
04-07,10.94,2.42,8.2,0.62,0.63,0.16,2.83,0.39,40.54,0.56,0.01
04-08,5.22,2.02,0.16,0,0.01,4.68,2.12,0,0.05,0,0.04
04-09,0.11,2.06,9.55,0,0.16,1.55,2.73,0.05,1.07,0,0.04
04-10,0,8.28,0,0,1.04,0,0.3,0.22,1.48,0,0.19
04-11,0.16,0,0.13,0.05,0,0,0,12.21,0,0,3.57
04-12,0.06,0,7.68,0.32,0.02,2.06,0.28,13.76,0.59,0,21.97
04-13,0.08,0.01,0,0,1.07,13.54,50.49,0.85,0.1,0,0.75
04-14,0.31,1.29,0,0,0.37,2.4,0.41,0.06,4.94,0.04,1.42
04-15,21.57,0,0.01,0.32,15.69,15.01,5.22,20.01,0.39,12.23,4.23
04-16,2.07,0,0.03,2.39,43.58,0.05,0.02,1.01,8.03,0.5,0
04-17,0,3.15,0.13,0.39,0.9,0.59,2.68,0.07,1.29,2.33,1.82
04-18,0,0,0.35,0,0.03,0.6,5.53,0.05,28.68,0.01,4.3
04-19,0,0,0,0.87,2.58,3.95,0,0.18,12.01,0,3.39
04-20,0,41.75,0,2.79,0.01,17.39,0.02,0.03,0,0.09,1.93
04-21,0,2.51,0,13.5,0,0.09,5.32,3.07,0,0.21,0.01
04-22,0.2,1.92,2.42,7.65,0,7.36,0,0.02,0.04,0.8,0
04-23,0.01,0.1,3.15,0,0.01,0.21,3.95,0,0.13,40.94,0
04-24,0,0.01,0,0.34,0.69,0.27,30.6,0,0,0.06,0.32
04-25,5.41,0,0.04,18.65,20.29,0.79,0,15.54,0,0.07,0
04-26,17.2,0.01,3.1,2.92,0.31,45.74,8.54,0.01,2.58,0.48,0.02
04-27,0.31,0,0.21,0.23,11.5,0.16,1.06,0.03,0.45,13.12,0.42
04-28,0.01,0,2.75,0.22,1.12,1.75,0,0.19,0,13.95,2.63
