month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-05,0,2.363,4.183,0,0,2.633,1.77,0,0,2.07,1.817
04-06,0,0,0,2.547,0,0,0,2.127,0,0,0
04-07,1.967,0,0,0,2.837,0,0,0,2.837,0,0
04-08,0,1.87,2.837,0,0,2.723,1.5,0,0,2.21,2.727
04-09,0,0,0,2.237,0,0,0,2.107,0,0,0
04-10,1.85,0,0,0,2.303,0,0,0,2.757,0,0
04-11,0,1.87,4.127,0,0,2.557,2.27,0,0,2.853,3.497
04-12,0,0,0,1.96,0,0,0,2.26,0,0,0
04-13,2.53,0,0,0,3.233,0,0,0,2.88,0,0
04-14,0,2.337,2.18,0,0,2.45,2.253,0,0,3.41,3.28
04-15,0,0,0,2.077,0,0,0,2.877,0,0,0
04-16,2.447,0,0,0,2.063,0,0,0,3.067,0,0
04-17,0,2.353,2.29,0,0,3.07,2.293,0,0,2.11,2.673
04-18,0,0,0,2.43,0,0,0,2.12,0,0,0
04-19,2.133,0,0,0,1.43,0,0,0,3.787,0,0
04-20,0,1.83,2.17,0,0,4.163,4.093,0,0,2.33,2.173
04-21,0,0,0,1.857,0,0,0,2.057,0,0,0
04-22,2.653,0,0,0,1.92,0,0,0,3.157,0,0
04-23,0,2.177,2.733,0,0,2.267,2.54,0,0,2.41,2.86
04-24,0,0,0,2.037,0,0,0,2.997,0,0,0
04-25,3.9,0,0,0,3.527,0,0,0,1.587,0,0
04-26,0,2.553,2.423,0,0,2.273,1.81,0,0,2.15,2.62
04-27,0,0,0,3.343,0,0,0,1.773,0,0,0
04-28,2.23,0,0,0,2.17,0,0,0,2.5,0,0
04-29,0,2.143,3.283,0,0,1.943,2.027,0,0,3.13,2.237
04-30,0,0,0,2.19,0,0,0,3.233,0,0,0
05-01,2.973,0,0,0,4.773,0,0,0,2.39,0,0
05-02,0,3.063,3.097,0,0,2.853,2.177,0,0,2.757,2.61
05-03,0,0,0,2.897,0,0,0,2,0,0,0
05-04,2.35,0,0,0,2.157,0,0,0,5.297,0,0
05-05,0,2.607,2.087,0,0,2.553,2.957,0,0,2.327,2.483
05-06,0,0,0,2.667,0,0,0,1.243,0,0,0
05-07,2.26,0,0,0,1.767,0,0,0,3.373,0,0
05-08,0,2.847,3.9,0,0,2.443,2.28,0,0,3.94,3.253
05-09,0,0,0,2.137,0,0,0,2.943,0,0,0
05-10,1.983,0,0,0,1.687,0,0,0,1.743,0,0
05-11,0,2.12,2.823,0,0,3.88,2.907,0,0,1.947,2.783
05-12,0,0,0,2.353,0,0,0,2.587,0,0,0
05-13,3.84,0,0,0,2.647,0,0,0,2.223,0,0
05-14,0,3.727,2.083,0,0,2.71,3.547,0,0,3.817,2.233
05-15,0,0,0,1.853,0,0,0,2.42,0,0,0
05-16,2.21,0,0,0,1.89,0,0,0,2.027,0,0
05-17,0,4.057,2.24,0,0,2.893,3.23,0,0,2.433,2.36
05-18,0,0,0,2.91,0,0,0,2.273,0,0,0
05-19,2.813,0,0,0,2.07,0,0,0,2.173,0,0
05-20,0,2.893,2.743,0,0,1.803,2.743,0,0,3.47,2.393
05-21,0,0,0,2.04,0,0,0,3.053,0,0,0
05-22,2.513,0,0,0,1.593,0,0,0,1.997,0,0
05-23,0,2.527,2.9,0,0,2.163,1.817,0,0,2.507,2.403
05-24,0,0,0,2.297,0,0,0,2.577,0,0,0
05-25,2.257,0,0,0,2.623,0,0,0,3.68,0,0
05-26,0,2.783,3.107,0,0,3.79,2.01,0,0,1.663,2.117
05-27,0,0,0,2.403,0,0,0,2.207,0,0,0
05-28,2.123,0,0,0,2.773,0,0,0,3.167,0,0
05-29,0,2.093,2.27,0,0,2.33,2.09,0,0,1.433,2.27
05-30,0,0,0,1.357,0,0,0,2.263,0,0,0
05-31,3.92,0,0,0,1.55,0,0,0,2.66,0,0
06-01,0,2.027,2.46,0,0,2.02,2.117,0,0,1.813,2.007
06-02,0,0,0,1.69,0,0,0,2.203,0,0,0
06-03,3.027,0,0,0,2.25,0,0,0,3.75,0,0
06-04,0,2.183,2.12,0,0,2.61,3.127,0,0,1.73,1.887
06-05,0,0,0,2.62,0,0,0,2.447,0,0,0
06-06,2.03,0,0,0,2.49,0,0,0,2.297,0,0
06-07,0,1.647,2.363,0,0,4.227,2.613,0,0,2.487,3.063
06-08,0,0,0,2.11,0,0,0,2.563,0,0,0
06-09,1.943,0,0,0,2.52,0,0,0,3.13,0,0
06-10,0,3.827,2.657,0,0,2.5,2.877,0,0,2.177,2.403
06-11,0,0,0,2.127,0,0,0,2.307,0,0,0
06-12,1.693,0,0,0,2.493,0,0,0,2.27,0,0
06-13,0,2.277,2.523,0,0,3.4,2.513,0,0,2.76,3.263
06-14,0,0,0,2.25,0,0,0,1.923,0,0,0
06-15,2.21,0,0,0,2.307,0,0,0,2.307,0,0
06-16,0,2.69,2.68,0,0,2.193,1.903,0,0,2.423,3.273
06-17,0,0,0,2.437,0,0,0,2.713,0,0,0
06-18,2.487,0,0,0,2.357,0,0,0,2.653,0,0
06-19,0,2.43,3.09,0,0,2.983,3.207,0,0,3.497,2.693
06-20,0,0,0,2.377,0,0,0,3.33,0,0,0
06-21,2.807,0,0,0,1.953,0,0,0,2.237,0,0
06-22,0,2.7,2.147,0,0,3.027,2.52,0,0,2.283,2.46
06-23,0,0,0,2.053,0,0,0,2.367,0,0,0
06-24,3.03,0,0,0,2.503,0,0,0,2.933,0,0
06-25,0,2.387,1.917,0,0,2.173,2.78,0,0,2.06,2.95
06-26,0,0,0,3.683,0,0,0,2.73,0,0,0
06-27,3.24,0,0,0,2.64,0,0,0,2.34,0,0
06-28,0,2.077,1.87,0,0,1.947,2.053,0,0,2.297,2.123
06-29,0,0,0,3.083,0,0,0,2.827,0,0,0
06-30,2.74,0,0,0,3.23,0,0,0,2.94,0,0
07-01,0,1.973,2.423,0,0,2.057,2.783,0,0,2.403,3.613
07-02,0,0,0,2.68,0,0,0,2.62,0,0,0
07-03,3.63,0,0,0,1.77,0,0,0,2.507,0,0
07-04,0,2.383,2.74,0,0,2.537,3.03,0,0,2.113,3
07-05,0,0,0,2.077,0,0,0,1.99,0,0,0
07-06,2.323,0,0,0,2.55,0,0,0,3.33,0,0
07-07,0,2.187,2.203,0,0,2.573,2.69,0,0,2.783,2.59
07-08,0,0,0,2.39,0,0,0,2.33,0,0,0
07-09,2.683,0,0,0,2.197,0,0,0,2.417,0,0
07-10,0,2.223,2.673,0,0,2.2,2.597,0,0,2.163,2.627
07-11,0,0,0,2.837,0,0,0,3.017,0,0,0
07-12,2.233,0,0,0,2.837,0,0,0,2.653,0,0
07-13,0,2.16,3.58,0,0,2.783,2.237,0,0,2.367,2.537
07-14,0,0,0,3.013,0,0,0,2.783,0,0,0
07-15,2.323,0,0,0,2.487,0,0,0,2.33,0,0
07-16,0,2.19,2.52,0,0,2.853,2.56,0,0,2.08,2.59
07-17,0,0,0,2.477,0,0,0,2.737,0,0,0
07-18,2.463,0,0,0,2.237,0,0,0,2.697,0,0
07-19,0,2.35,2.06,0,0,2.443,2.41,0,0,2.413,2.95
07-20,0,0,0,2.433,0,0,0,2.24,0,0,0
07-21,2.357,0,0,0,2.87,0,0,0,2.547,0,0
07-22,0,1.813,2.71,0,0,2.147,2.543,0,0,3.35,3.333
07-23,0,0,0,3.463,0,0,0,2.59,0,0,0
07-24,3.03,0,0,0,2.333,0,0,0,2.517,0,0
07-25,0,2.06,2.413,0,0,2.817,2.32,0,0,3.193,2.333
07-26,0,0,0,2.503,0,0,0,2.607,0,0,0
07-27,2.977,0,0,0,2.45,0,0,0,2.727,0,0
07-28,0,2.27,2.463,0,0,2.527,2.25,0,0,3.063,2.64
07-29,0,0,0,2.82,0,0,0,2.973,0,0,0
07-30,2.437,0,0,0,2.177,0,0,0,2.623,0,0
07-31,0,2.687,2.417,0,0,2.397,2.517,0,0,2.383,2.513
08-01,0,0,0,2.53,0,0,0,3.427,0,0,0
08-02,2.697,0,0,0,2.073,0,0,0,2.247,0,0
