month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03-06,5.223,5.517,1.170,0.030,2.793,0.000,4.497,1.573,2.970,0.343,0.120
03-07,3.370,4.087,2.797,0.447,1.170,0.000,5.233,1.743,1.987,0.317,0.000
03-08,1.333,3.203,2.233,0.567,1.140,0.003,6.140,3.243,1.790,0.010,0.790
03-09,0.767,3.770,4.037,0.537,0.957,0.003,5.253,2.927,1.647,0.007,0.000
03-10,1.177,2.500,9.453,0.123,0.013,0.007,4.963,2.280,0.913,0.007,0.280
03-11,0.987,1.227,14.053,0.003,0.010,0.050,3.467,0.357,1.253,0.000,0.130
03-12,6.180,0.030,13.777,0.103,0.020,0.597,0.447,0.273,1.233,0.000,0.060
03-13,10.027,0.067,6.520,0.143,0.027,0.883,0.220,0.270,1.227,0.000,0.000
03-14,13.457,0.833,1.650,0.247,0.033,0.840,0.613,0.297,0.017,0.000,0.000
03-15,8.037,0.867,0.100,0.203,1.330,0.293,0.700,0.183,0.040,0.000,0.000
03-16,3.753,1.287,0.453,0.217,2.343,0.003,1.857,0.763,0.053,0.000,0.000
03-17,0.290,0.520,0.457,0.113,3.520,0.323,1.837,0.897,1.470,0.000,0.000
03-18,0.133,0.487,0.360,0.057,2.340,4.137,1.840,4.227,3.933,0.003,0.000
03-19,2.043,0.003,0.003,0.100,1.570,11.340,2.713,4.873,4.290,0.010,0.000
03-20,3.380,0.020,0.040,0.210,3.233,28.293,8.313,8.110,4.417,0.010,0.000
03-21,3.370,0.447,1.260,0.210,8.463,25.993,9.133,8.013,2.263,0.010,0.060
03-22,1.833,0.477,2.507,0.113,8.327,20.583,7.403,7.107,2.203,0.003,0.000
03-23,0.497,7.943,3.547,0.007,8.870,3.307,5.853,3.750,0.833,0.003,0.000
03-24,0.947,8.150,2.553,0.047,6.513,1.890,8.407,0.413,0.483,0.000,0.000
03-25,2.473,14.230,1.307,0.043,8.910,2.570,8.573,0.040,0.173,0.000,0.100
03-26,2.743,6.807,0.227,0.050,5.723,3.353,4.330,0.000,0.023,0.000,6.080
03-27,2.260,6.277,0.000,0.093,2.723,4.227,4.413,0.000,0.027,0.000,0.230
03-28,0.320,0.240,0.000,0.160,0.207,1.810,6.337,0.000,0.660,0.000,0.000
03-29,3.590,0.180,0.000,0.157,0.007,1.050,6.343,0.000,1.550,0.000,0.000
03-30,4.110,0.077,0.000,0.073,0.010,1.493,4.143,0.000,2.077,0.000,0.000
03-31,4.060,0.000,6.983,1.033,0.010,3.053,1.547,0.000,2.063,0.173,0.000
04-01,0.520,0.000,10.877,1.353,0.003,3.257,2.303,0.003,1.153,3.120,0.000
04-02,0.420,0.000,10.907,3.890,0.120,2.503,2.260,0.010,0.683,4.150,0.000
04-03,1.280,0.000,3.923,3.540,0.123,5.420,2.427,0.320,0.070,4.023,0.000
04-04,1.513,0.000,0.083,3.223,0.133,13.200,1.483,1.133,0.073,1.223,0.000
04-05,1.093,0.007,2.340,6.840,0.013,14.843,0.190,1.127,0.030,0.193,0.000
04-06,0.233,0.007,4.580,6.797,0.010,11.660,0.040,0.817,0.037,0.147,0.000
04-07,0.000,0.007,5.893,7.713,2.037,3.790,0.140,0.000,0.030,0.000,0.000
04-08,0.000,0.000,4.333,2.193,2.037,2.280,0.743,0.000,0.020,0.000,0.000
04-09,0.000,0.000,2.093,1.583,2.080,1.057,2.540,0.000,0.020,0.000,3.970
04-10,0.000,0.000,0.727,0.660,0.370,1.310,2.447,0.410,0.020,0.000,0.230
04-11,0.113,0.000,0.000,0.053,0.583,0.890,1.863,0.513,0.013,0.000,6.870
04-12,0.130,0.000,0.000,0.030,1.073,0.777,0.037,0.530,0.253,0.257,5.180
04-13,0.137,0.000,0.000,0.027,3.290,0.387,0.030,2.593,1.800,0.263,3.590
04-14,0.040,0.000,0.000,0.000,6.313,0.013,0.000,3.103,6.550,0.300,1.870
04-15,0.023,0.000,0.000,0.000,6.263,0.000,0.120,10.187,6.693,0.077,0.610
04-16,0.017,0.000,0.000,0.000,5.407,0.000,0.837,9.317,5.313,0.070,0.130
04-17,0.000,0.000,0.000,0.000,2.400,0.000,2.097,8.857,0.563,0.033,0.020
04-18,0.000,0.000,0.003,0.000,2.700,0.000,2.707,1.757,0.173,0.000,0.130
04-19,0.000,0.077,0.007,0.000,1.107,0.000,4.060,0.293,1.133,0.137,0.170
04-20,0.000,0.077,0.253,0.000,0.903,0.043,5.507,0.447,2.207,0.150,0.000
04-21,0.417,0.077,0.280,0.000,0.120,0.380,6.543,1.850,2.203,0.160,0.000
